feed_temperature_K,feed_pressure_kPa,feed_composition_benzene,n_stages,feed_stage,reflux_ratio,bottoms_rate_kmol_h,feed_vapor_fraction_q,column_pressure_kPa,relative_volatility,R_over_Rmin,N_over_Nmin,feed_stage_fraction,distillate_rate_kmol_h,bubble_point_T_K,dew_point_T_K,xD_benzene,xB_benzene,QC_kW,QR_kW
373.748,202.65,0.4873,22,6,2.3964,63.907,0.46699,202.65,6.66136,3.39499,21.25721,0.27273,36.093,359.37,390.16,0.753113,0.3,1510.1185,1562.8109
323.208,121.59,0.5946,30,22,1.9966,40.182,-0.05173,121.59,11.8434,1.6783,39.35699,0.73333,59.818,333.221,366.008,0.738235,0.3,1712.3126,1770.2196
344.141,101.325,0.5425,17,11,2.594,50.307,0.43886,101.325,9.0223,4.69672,18.93513,0.64706,49.693,329.454,362.92,0.755395,0.3,1555.3815,1609.972
335.149,202.65,0.6466,13,8,2.3473,38.174,-0.07737,202.65,10.12355,1.47465,15.99136,0.61538,61.826,350.125,380.651,0.737796,0.3,2552.2683,2638.5187
354.781,101.325,0.5275,25,8,2.178,64.502,0.73306,101.325,8.00463,3.54865,27.05517,0.32,35.498,330.289,363.699,0.745493,0.3,983.2608,1016.908
386.143,101.325,0.6932,12,6,2.9795,51.058,1.1184,101.325,5.94521,3.55447,10.83705,0.5,48.942,322.068,353.851,0.755207,0.3,1696.2914,1755.531
378.947,202.65,0.5286,25,9,2.9286,62.0,0.71202,202.65,6.3562,3.45557,21.67629,0.36,38.0,356.766,387.919,0.78342,0.3,1834.6969,1903.1287
357.895,101.325,0.3571,10,3,3.5,62.0,0.54715,101.325,7.74456,4.31039,6.72483,0.3,38.0,341.482,371.478,0.742638,0.12087165,1490.705,1562.0851
357.895,202.65,0.3,10,6,2.9286,46.0,-0.08148,202.65,7.78328,4.97874,1.38444,0.6,54.0,373.664,398.991,0.732284,1e-06,2617.4274,2765.2369
387.368,121.59,0.5286,10,7,2.0714,70.0,1.06491,121.59,5.89078,2.0559,9.95742,0.7,30.0,336.828,369.667,0.71782,0.3,881.6725,909.7127
370.526,202.65,0.3,15,5,1.5,46.0,-0.01621,202.65,6.86451,2.62586,1.97066,0.33333,54.0,373.664,398.991,0.7,1e-06,1669.7916,1759.6542
400.0,202.65,0.4143,30,12,2.9286,46.0,1.0226,202.65,5.35232,1.76188,3.3345,0.4,54.0,364.416,393.838,0.781937,1e-06,2607.5075,2764.9242
328.421,121.59,0.5286,20,3,1.5,62.0,-0.04344,121.59,11.01593,1.82653,28.31753,0.15,38.0,336.828,369.667,0.7,0.3,910.1722,938.2062
357.895,202.65,0.3571,30,9,1.7857,38.0,-0.0564,202.65,7.78328,2.90848,4.17138,0.3,62.0,368.81,396.496,0.719508,1e-06,2133.0574,2251.2822
378.947,202.65,0.4714,10,5,2.0714,30.0,0.60608,202.65,6.3562,2.93939,1.2542,0.5,70.0,360.419,390.99,0.717153,1e-06,2655.8346,2802.269
398.572,202.65,0.6123,12,4,1.7318,65.935,1.05741,202.65,5.41059,1.99247,11.61227,0.33333,34.065,351.942,382.914,0.710422,0.3,1150.1934,1186.1334
336.842,121.59,0.4714,15,6,2.6429,54.0,-0.01773,121.59,9.86953,3.40179,15.07164,0.4,46.0,340.274,372.546,0.749484,0.23456634,1599.3715,1662.9317
376.387,121.59,0.5562,26,16,2.2837,67.955,1.03007,121.59,6.47725,2.43466,24.73927,0.61538,32.045,335.275,368.185,0.753284,0.3,1004.0832,1038.9544
400.0,152.0,0.5286,25,13,2.9286,70.0,1.08294,152.0,5.33901,2.27286,19.63235,0.52,30.0,345.266,377.38,0.78342,0.3,1254.5005,1301.0344
324.211,121.59,0.5286,20,14,2.9286,62.0,-0.06519,121.59,11.67631,2.84551,23.58757,0.7,38.0,336.828,369.667,0.77495,0.3,1422.032,1474.3213
365.013,121.59,0.4158,16,7,2.4278,32.701,0.67507,121.59,7.21103,2.89022,2.12513,0.4375,67.299,343.97,375.142,0.742462,1e-06,2203.0326,2329.0301
328.421,121.59,0.4143,20,12,2.3571,62.0,-0.08087,121.59,11.01593,3.57479,20.00607,0.6,38.0,344.074,375.209,0.746242,0.21082833,1217.8809,1268.2744
398.072,101.325,0.3923,23,3,2.3965,58.327,1.10289,101.325,5.40426,1.33536,13.15347,0.13043,41.673,338.875,370.01,0.750781,0.13617706,1233.1803,1291.3268
357.895,101.325,0.4714,30,6,2.9286,38.0,0.73931,101.325,7.74456,3.55157,4.06363,0.2,62.0,333.603,366.46,0.785247,1e-06,2116.3763,2244.8119
395.655,101.325,0.6426,28,19,1.7165,52.71,1.14102,101.325,5.50597,1.95673,26.82188,0.67857,47.29,324.368,357.196,0.717777,0.3,1122.1148,1157.7934
400.0,202.65,0.3,20,13,2.0714,54.0,1.0037,202.65,5.35232,0.92485,2.26544,0.65,46.0,373.664,398.991,0.729922,1e-06,1743.5736,1841.4048
